survived,pclass,sex,age,sibsp,parch,fare,embarked_Q,embarked_S,fare_yj,fare_bc
1,2,0,13.0,0,1,19.5,False,True,0.10731280407843993,0.006896891583579559
1,2,0,4.0,1,1,23.0,False,True,0.26906407925779785,0.15261025952178953
1,2,0,30.0,1,0,13.8583,False,False,-0.23211680221563172,-0.28171498739055856
0,3,1,,0,0,7.725,True,False,-0.8215401760963593,-0.7378186206168608
1,3,0,22.0,0,0,7.725,True,False,-0.8215401760963593,-0.7378186206168608
0,3,1,,0,0,7.8792,True,False,-0.8015702192179666,-0.7231328034007365
1,1,0,30.0,0,0,56.9292,False,False,1.1217455579838207,1.0308775584035506
1,2,0,2.0,1,1,26.0,False,True,0.38804817777044526,0.2635453954678998
0,1,1,49.0,1,1,110.8833,False,False,1.7051956233053636,1.770400744746487
1,1,1,35.0,0,0,26.2875,False,True,0.39867012189873785,0.2736109794857155
1,2,1,2.0,1,1,23.0,False,True,0.26906407925779785,0.15261025952178953
1,2,0,42.0,1,0,26.0,False,True,0.38804817777044526,0.2635453954678998
0,1,0,2.0,1,2,151.55,False,True,1.9652347497510785,2.1473449190131433
0,2,1,18.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,3,1,,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
0,2,1,28.0,0,0,26.0,False,True,0.38804817777044526,0.2635453954678998
0,2,1,25.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
1,3,1,24.0,0,0,7.1417,False,True,-0.9008041732035947,-0.7956635086452084
1,1,0,30.0,0,0,106.425,False,False,1.6704042858279504,1.7223819093839479
0,3,1,,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
1,3,0,,0,0,7.8792,True,False,-0.8015702192179666,-0.7231328034007365
1,3,0,0.75,2,1,19.2583,False,False,0.09502460558586011,-0.003944640470330796
0,3,1,33.0,0,0,8.6542,False,True,-0.7067284452809678,-0.6527354494983988
0,3,1,26.0,1,0,14.4542,False,False,-0.1899794613200189,-0.24704917146684974
0,3,1,4.0,4,1,29.125,True,False,0.4972622794896471,0.3683563625308827
1,2,1,20.0,0,0,13.8625,False,False,-0.23181326475298328,-0.28146637675177055
0,3,0,30.0,1,1,24.15,False,True,0.3165363814610159,0.196476682215996
1,2,0,18.0,0,1,23.0,False,True,0.26906407925779785,0.15261025952178953
1,3,1,32.0,0,0,7.8542,False,True,-0.8047815353602865,-0.7254975234690264
1,1,1,32.0,0,0,30.5,False,False,0.5413816119762508,0.41154423746303676
0,1,1,31.0,0,0,50.4958,False,True,1.0127153564327773,0.9066427432102396
1,3,1,25.0,0,0,0.01,False,True,-3.6244124207355193,-3.672942939481026
0,3,1,42.0,0,1,8.4042,False,True,-0.736367051940718,-0.6748532615269085
0,1,1,30.0,0,0,27.75,False,False,0.4508408693944934,0.32344682024744964
0,3,1,,0,0,7.2292,False,False,-0.8885177764761778,-0.7867426400797148
0,3,1,26.5,0,0,7.225,False,False,-0.8891041926804606,-0.7871687945458433
0,3,1,41.0,0,0,7.85,False,True,-0.8053220271878402,-0.7258954074077366
0,3,1,,0,0,7.0,False,True,-0.9210164120780391,-0.8103039535134572
0,3,1,32.0,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
1,3,0,1.0,0,2,15.7417,False,False,-0.10480859298754387,-0.17601310021092553
1,3,1,,1,1,15.2458,False,False,-0.1367206623754189,-0.20278344329098308
0,2,1,18.5,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,3,1,20.0,0,0,7.925,False,True,-0.7957131275340771,-0.7188166970476618
0,3,0,24.0,0,0,8.85,False,True,-0.6841062715248805,-0.6357790781520674
0,2,1,52.0,0,0,13.5,False,True,-0.25836932504847704,-0.30315706926740044
0,3,1,32.0,1,0,15.85,False,True,-0.09797933802915482,-0.17025974581248504
0,3,1,21.0,0,0,7.25,False,True,-0.8856185248373031,-0.7846351758799197
0,2,1,,0,0,0.01,False,True,-3.6244124207355193,-3.672942939481026
0,1,1,46.0,0,0,75.2417,False,False,1.3705460500955953,1.329944814392248
0,1,1,62.0,0,0,26.55,False,True,0.4082601262256728,0.282722041870963
1,1,0,33.0,1,0,53.1,False,True,1.0585848563353562,0.9584270646109714
1,2,0,22.0,1,2,41.5792,False,False,0.8335054794897844,0.7107326491653531
0,3,1,18.0,0,0,8.3,False,True,-0.7489805498285517,-0.6842330267865475
0,3,1,31.0,0,0,7.775,False,True,-0.815022052328976,-0.7330303104164417
1,1,0,23.0,1,0,82.2667,False,True,1.448746428386793,1.4287392653651103
0,3,1,,0,0,7.2292,False,False,-0.8885177764761778,-0.7867426400797148
0,2,1,,0,0,0.01,False,True,-3.6244124207355193,-3.672942939481026
1,1,1,38.0,1,0,90.0,False,True,1.5267527788474058,1.5297257648211338
0,3,1,16.0,0,0,9.5,False,True,-0.6124493240355003,-0.5816292345245199
0,3,1,,0,0,7.8958,False,False,-0.7994434635566813,-0.7215660573309575
0,2,1,36.0,1,2,27.75,False,True,0.4508408693944934,0.32344682024744964
1,3,0,22.0,0,0,7.25,False,True,-0.8856185248373031,-0.7846351758799197
1,3,0,,0,0,7.225,False,False,-0.8891041926804606,-0.7871687945458433
0,3,0,,8,2,69.55,False,True,1.301056967279966,1.2441352573204045
0,3,1,,0,0,7.25,False,True,-0.8856185248373031,-0.7846351758799197
0,3,1,22.0,0,0,9.0,False,True,-0.6671119086377622,-0.6229977936758045
1,1,0,51.0,0,1,39.4,False,True,0.7833006578631199,0.6576007265516385
0,1,1,,0,0,39.6,False,False,0.7880325915346166,0.6625769887817219
1,3,1,24.0,0,0,7.55,False,True,-0.844685647355042,-0.7547822602388958
0,3,1,38.0,0,0,7.05,False,True,-0.9138391503349598,-0.8051101805571677
0,3,1,31.0,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
1,3,0,,0,2,15.2458,False,False,-0.1367206623754189,-0.20278344329098308
0,1,1,51.0,0,1,61.3792,False,False,1.1895480958631173,1.1101716386609888
1,1,0,23.0,1,0,113.275,False,False,1.7232291326235691,1.7955057873629885
0,3,1,25.0,1,0,7.775,False,True,-0.815022052328976,-0.7330303104164417
0,3,1,40.0,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
0,3,1,40.0,1,5,31.3875,False,True,0.568734451308944,0.4385717553745583
1,2,0,35.0,0,0,21.0,False,True,0.18013589867980856,0.07179807958817004
1,3,0,18.0,0,0,7.4958,False,True,-0.8519613009216992,-0.7601021314229152
1,1,0,40.0,0,0,153.4625,False,True,1.9754940805838528,2.162902750043389
0,1,1,36.0,0,0,75.2417,False,False,1.3705460500955953,1.329944814392248
1,1,0,24.0,0,0,69.3,False,False,1.297862895491801,1.2402347172564026
0,1,1,45.0,0,0,35.5,False,True,0.6854337647815972,0.5561187968967581
0,3,0,18.0,2,0,18.0,False,True,0.028297559226824347,-0.06227637160788297
0,3,0,20.0,0,0,7.8542,False,True,-0.8047815353602865,-0.7254975234690264
1,1,0,30.0,0,0,93.5,False,True,1.5596638781187349,1.5730849676668341
0,2,1,32.0,0,0,10.5,False,True,-0.5113347713172006,-0.5040270078634657
0,3,0,2.0,1,1,20.2125,False,True,0.14261866239108326,0.038221713944774124
1,3,1,32.0,0,0,56.4958,False,True,1.114833821867543,1.0228835151386646
1,1,0,48.0,1,3,262.375,False,False,2.4015375633108964,2.8607452778356763
0,3,1,28.0,0,0,9.5,False,True,-0.6124493240355003,-0.5816292345245199
1,3,0,,0,0,7.7333,True,False,-0.8204552921219597,-0.7370219890879931
0,3,1,39.0,1,5,31.275,False,True,0.5653136966426574,0.43518100894361894
0,3,1,19.0,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
1,3,1,16.0,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
1,2,0,21.0,0,0,10.5,False,True,-0.5113347713172006,-0.5040270078634657
1,1,1,56.0,0,0,35.5,False,False,0.6854337647815972,0.5561187968967581
0,2,1,,0,0,0.01,False,True,-3.6244124207355193,-3.672942939481026
0,3,1,24.0,0,0,9.325,False,True,-0.6312451160566611,-0.5958987347310128
0,1,1,39.0,0,0,29.7,False,False,0.5159796483144555,0.38661776512132623
1,3,1,32.0,0,0,7.5792,False,True,-0.8407871832847748,-0.7519292920390782
0,3,0,27.0,1,0,7.925,False,True,-0.7957131275340771,-0.7188166970476618
0,3,1,26.0,1,2,20.575,False,True,0.16007787608526838,0.05380953574346927
0,3,1,14.0,4,1,39.6875,False,True,0.7900946552430452,0.6647475654998893
1,3,0,,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
1,1,0,21.0,0,0,26.55,False,True,0.4082601262256728,0.282722041870963
1,3,0,23.0,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
0,3,1,,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
1,3,0,,0,0,7.7375,True,False,-0.8199067521698206,-0.7366191439246174
0,3,1,,0,0,9.5,False,True,-0.6124493240355003,-0.5816292345245199
1,1,1,11.0,1,2,120.0,False,True,1.771765852698387,1.863817790216485
0,3,1,34.0,1,1,14.4,False,True,-0.19373662490206753,-0.25015278477984887
0,3,1,30.0,1,0,16.1,False,True,-0.08239959100853853,-0.15710190119073292
0,3,1,,8,2,69.55,False,True,1.301056967279966,1.2441352573204045
0,2,1,61.0,0,0,12.35,True,False,-0.34778193322301304,-0.3753173108340586
0,3,1,,0,0,7.2292,False,False,-0.8885177764761778,-0.7867426400797148
1,2,0,45.0,0,0,13.5,False,True,-0.25836932504847704,-0.30315706926740044
1,3,0,24.0,0,2,16.7,False,True,-0.04602049089439041,-0.12619972027458867
0,3,0,26.0,1,0,16.1,False,True,-0.08239959100853853,-0.15710190119073292
0,2,1,,0,0,15.5792,False,False,-0.11514847655236674,-0.18470754383191643
0,3,1,21.0,2,0,24.15,False,True,0.3165363814610159,0.196476682215996
0,3,1,16.0,0,0,7.775,False,True,-0.815022052328976,-0.7330303104164417
1,3,0,22.0,0,0,7.775,False,True,-0.815022052328976,-0.7330303104164417
0,3,1,,0,0,7.8958,False,False,-0.7994434635566813,-0.7215660573309575
0,2,1,54.0,1,0,26.0,False,True,0.38804817777044526,0.2635453954678998
0,3,1,23.0,1,0,13.9,False,True,-0.22910733595328187,-0.27924939747080507
0,3,0,,1,2,23.45,False,True,0.28793594115765625,0.1699869843321691
0,3,1,,1,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
0,1,1,44.0,2,0,90.0,True,False,1.5267527788474058,1.5297257648211338
1,1,0,55.0,2,0,25.7,False,True,0.3768292575251362,0.2529434897451732
1,1,0,21.0,0,0,77.9583,False,True,1.401702947523997,1.3690195884857748
1,2,1,1.0,0,2,37.0042,False,False,0.7245013576463262,0.5963037894482353
1,3,1,,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
1,1,1,48.0,1,0,76.7292,False,False,1.3877566115023416,1.3514824953110756
0,1,1,,0,0,35.0,False,True,0.6720490350877828,0.5424490143985683
0,3,1,20.0,0,0,7.225,False,False,-0.8891041926804606,-0.7871687945458433
0,2,1,33.0,0,0,12.275,False,True,-0.35390868920027335,-0.38021390801380744
1,1,0,25.0,1,0,55.4417,False,False,1.0977782522335806,1.0032267458863229
0,3,0,28.0,0,0,7.775,False,True,-0.815022052328976,-0.7330303104164417
0,3,1,30.0,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
1,2,0,28.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,3,1,26.0,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
0,3,1,,0,0,7.55,False,True,-0.844685647355042,-0.7547822602388958
1,1,0,64.0,1,1,26.55,False,True,0.4082601262256728,0.282722041870963
0,1,1,55.0,1,1,93.5,False,True,1.5596638781187349,1.5730849676668341
0,3,1,,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
1,3,0,27.0,0,1,12.475,False,True,-0.33765537518302496,-0.3672107320275118
1,3,1,25.0,0,0,9.5,False,True,-0.6124493240355003,-0.5816292345245199
1,1,0,35.0,1,0,53.1,False,True,1.0585848563353562,0.9584270646109714
0,3,1,,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
0,2,1,23.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,1,1,40.0,0,0,0.01,False,True,-3.6244124207355193,-3.672942939481026
0,3,1,24.0,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
0,2,1,38.0,1,0,21.0,False,True,0.18013589867980856,0.07179807958817004
0,3,1,28.0,0,0,7.25,False,True,-0.8856185248373031,-0.7846351758799197
0,3,0,22.0,0,0,9.8375,False,True,-0.5771661721549819,-0.5547129903662219
0,3,1,,1,0,15.5,True,False,-0.12022896852925917,-0.18897231431791395
0,3,1,35.0,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
1,3,0,,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
1,3,1,12.0,1,0,11.2417,False,False,-0.44246909677269186,-0.45033059675899156
1,2,0,40.0,1,1,39.0,False,True,0.773758027571881,0.6475851600346456
1,1,0,54.0,1,1,81.8583,False,True,1.444404735094571,1.4231908992462992
1,1,1,,0,0,26.55,False,True,0.4082601262256728,0.282722041870963
0,2,1,36.0,0,0,12.875,False,False,-0.30594002881506555,-0.34171364869651694
1,1,1,25.0,1,0,55.4417,False,False,1.0977782522335806,1.0032267458863229
0,3,1,40.0,0,0,7.225,False,False,-0.8891041926804606,-0.7871687945458433
0,1,1,55.0,0,0,50.0,False,True,1.0036899011972846,0.8965343264700045
0,2,1,19.0,0,0,10.5,False,True,-0.5113347713172006,-0.5040270078634657
0,3,1,23.0,0,0,7.8542,False,True,-0.8047815353602865,-0.7254975234690264
1,3,1,22.0,0,0,7.225,False,False,-0.8891041926804606,-0.7871687945458433
1,3,0,22.0,1,1,12.2875,False,True,-0.35288488998664813,-0.37939609219028153
0,3,1,43.0,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
0,1,1,22.0,0,0,135.6333,False,False,1.873861430094358,2.011143674596269
0,1,1,28.5,0,0,27.7208,False,False,0.44982840027189047,0.322473311729319
0,3,0,22.0,0,0,39.6875,False,True,0.7900946552430452,0.6647475654998893
0,3,1,29.0,0,0,9.4833,False,True,-0.6142278665011476,-0.5829815192789196
0,3,1,24.0,2,0,24.15,False,True,0.3165363814610159,0.196476682215996
0,3,1,21.0,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
0,2,1,30.0,1,0,21.0,False,True,0.18013589867980856,0.07179807958817004
0,1,1,46.0,1,0,61.175,False,True,1.1865562925607394,1.106638916250123
1,1,0,15.0,0,1,211.3375,False,True,2.2326689859351085,2.5714908783079378
1,1,1,,0,0,39.6,False,True,0.7880325915346166,0.6625769887817219
1,1,0,49.0,0,0,25.9292,False,True,0.3854130726879508,0.26105250833025184
0,3,1,21.0,0,0,7.7333,True,False,-0.8204552921219597,-0.7370219890879931
1,2,0,29.0,0,0,10.5,False,True,-0.5113347713172006,-0.5040270078634657
1,3,0,18.0,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
0,3,0,37.0,0,0,9.5875,False,True,-0.6031818234185501,-0.5745758992523377
1,2,0,40.0,0,0,15.75,False,True,-0.10428346728119417,-0.17557101197188293
0,2,0,,0,0,21.0,False,True,0.18013589867980856,0.07179807958817004
0,3,1,,1,0,16.1,False,True,-0.08239959100853853,-0.15710190119073292
0,3,1,,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
0,2,1,18.0,0,0,11.5,False,True,-0.41957122030350225,-0.43231842756241834
0,1,1,50.0,1,0,55.9,False,True,1.1052368716707752,1.011810760368917
1,1,0,63.0,1,0,77.9583,False,True,1.401702947523997,1.3690195884857748
0,1,1,56.0,0,0,26.55,False,True,0.4082601262256728,0.282722041870963
0,1,1,41.0,0,0,30.5,False,True,0.5413816119762508,0.41154423746303676
0,3,1,33.0,0,0,9.5,False,True,-0.6124493240355003,-0.5816292345245199
1,2,0,30.0,3,0,21.0,False,True,0.18013589867980856,0.07179807958817004
0,1,1,,0,0,26.55,False,True,0.4082601262256728,0.282722041870963
1,3,0,19.0,1,0,7.8542,False,True,-0.8047815353602865,-0.7254975234690264
0,1,0,36.0,0,0,31.6792,False,False,0.5775428021677217,0.4473169665915013
1,3,1,39.0,0,0,7.925,False,True,-0.7957131275340771,-0.7188166970476618
1,2,0,34.0,0,0,10.5,False,True,-0.5113347713172006,-0.5040270078634657
1,3,0,27.0,0,2,11.1333,False,True,-0.45223938716262985,-0.45799188686522924
1,1,1,37.0,1,1,52.5542,False,True,1.0491779712997535,0.947750785593716
1,1,0,33.0,0,0,27.7208,False,False,0.44982840027189047,0.322473311729319
1,1,0,58.0,0,1,512.3292,False,False,2.8991992611652164,3.827038034099339
0,1,1,42.0,1,0,52.0,False,True,1.0395164204045633,0.9368158907020497
0,3,1,14.0,5,2,46.9,False,True,0.9449461256079463,0.8313799843814514
1,3,1,29.0,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
0,3,1,41.0,2,0,14.1083,False,True,-0.21421358804351084,-0.2670241574266771
0,1,1,47.0,0,0,34.0208,False,True,0.6452261116066474,0.5152031393687865
0,1,1,50.0,0,0,26.0,False,True,0.38804817777044526,0.2635453954678998
0,3,1,48.0,0,0,7.8542,False,True,-0.8047815353602865,-0.7254975234690264
0,3,1,,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
0,3,1,27.0,0,0,8.6625,False,True,-0.7057591524054424,-0.652010253631771
0,3,0,27.0,0,0,7.8792,True,False,-0.8015702192179666,-0.7231328034007365
0,3,0,20.0,1,0,9.825,False,True,-0.5784510125871423,-0.555696156874621
0,3,0,29.0,1,1,10.4625,False,True,-0.5149470487373435,-0.5068243044509354
0,1,1,55.0,0,0,30.5,False,True,0.5413816119762508,0.41154423746303676
1,2,0,19.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,1,1,54.0,0,1,77.2875,False,True,1.3941217439654818,1.3594770543154195
0,1,1,64.0,0,0,26.0,False,True,0.38804817777044526,0.2635453954678998
0,3,1,,0,0,7.55,False,True,-0.844685647355042,-0.7547822602388958
1,1,0,18.0,0,2,79.65,False,True,1.420507862161963,1.3927866970971798
0,2,1,31.0,1,1,26.25,False,True,0.3972917374389685,0.27230325936935507
1,1,0,35.0,1,0,90.0,False,True,1.5267527788474058,1.5297257648211338
0,2,1,24.0,0,0,13.5,False,True,-0.25836932504847704,-0.30315706926740044
1,3,0,23.0,0,0,7.8542,False,True,-0.8047815353602865,-0.7254975234690264
0,3,1,24.0,0,0,7.05,False,True,-0.9138391503349598,-0.8051101805571677
1,1,0,24.0,0,0,69.3,False,False,1.297862895491801,1.2402347172564026
0,2,1,39.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,3,1,,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
1,1,1,45.0,0,0,29.7,False,False,0.5159796483144555,0.38661776512132623
1,1,0,27.0,1,2,52.0,False,True,1.0395164204045633,0.9368158907020497
0,3,1,32.0,0,0,7.925,False,True,-0.7957131275340771,-0.7188166970476618
1,2,0,22.0,0,0,10.5,False,True,-0.5113347713172006,-0.5040270078634657
0,2,1,29.0,1,0,26.0,False,True,0.38804817777044526,0.2635453954678998
1,1,0,30.0,0,0,31.0,False,False,0.5568956359862627,0.42684982481652856
0,3,1,19.0,0,0,8.1583,False,True,-0.7663883402743477,-0.6971460553403449
1,1,0,60.0,1,0,75.25,False,False,1.3706431166461037,1.330065964834822
0,3,1,,8,2,69.55,False,True,1.301056967279966,1.2441352573204045
0,2,1,,0,0,0.01,False,True,-3.6244124207355193,-3.672942939481026
0,3,1,40.5,0,2,14.5,False,True,-0.1868160111908567,-0.2444340598488193
0,3,0,18.0,0,1,14.4542,False,False,-0.1899794613200189,-0.24704917146684974
1,1,0,59.0,2,0,51.4792,False,True,1.0303340347347194,0.926451750959847
1,1,0,37.0,1,0,90.0,True,False,1.5267527788474058,1.5297257648211338
0,3,1,50.0,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
0,3,1,25.0,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
1,3,0,,2,0,23.25,True,False,0.27959661486350446,0.16229837257878524
1,2,1,31.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
1,3,1,,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
1,2,1,3.0,1,1,26.0,False,True,0.38804817777044526,0.2635453954678998
0,1,1,67.0,1,0,221.7792,False,True,2.270661915915296,2.635045817210542
0,3,1,28.0,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
0,1,1,27.0,1,0,136.7792,False,False,1.8808270303064405,2.021379385690742
0,2,1,59.0,0,0,13.5,False,True,-0.25836932504847704,-0.30315706926740044
0,1,1,,0,0,26.55,False,True,0.4082601262256728,0.282722041870963
0,3,0,2.0,0,1,10.4625,False,True,-0.5149470487373435,-0.5068243044509354
1,3,0,23.0,0,0,7.55,False,True,-0.844685647355042,-0.7547822602388958
0,2,1,31.0,1,1,37.0042,False,False,0.7245013576463262,0.5963037894482353
1,1,0,60.0,1,4,263.0,False,True,2.4033728332110105,2.8639871109119355
1,1,0,,1,0,52.0,False,True,1.0395164204045633,0.9368158907020497
1,1,0,39.0,1,1,83.1583,False,False,1.4581431609404951,1.4407734408497437
1,1,0,53.0,0,0,27.4458,False,False,0.4402365454789634,0.31326311923501504
0,3,1,22.0,1,0,7.25,False,True,-0.8856185248373031,-0.7846351758799197
0,3,1,,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
1,3,0,21.0,0,0,7.65,False,True,-0.83139577501449,-0.7450494018779326
0,2,1,23.0,0,0,10.5,False,True,-0.5113347713172006,-0.5040270078634657
0,2,1,40.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,3,1,4.0,4,2,31.275,False,True,0.5653136966426574,0.43518100894361894
1,2,0,40.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,3,1,,0,0,7.25,False,True,-0.8856185248373031,-0.7846351758799197
0,3,1,25.0,0,0,7.8958,False,True,-0.7994434635566813,-0.7215660573309575
0,2,1,36.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,3,1,,0,0,7.2292,False,False,-0.8885177764761778,-0.7867426400797148
0,3,1,45.5,0,0,7.225,False,False,-0.8891041926804606,-0.7871687945458433
0,3,1,32.0,0,0,8.3625,False,True,-0.7413961007569172,-0.6785953536252131
1,1,0,48.0,0,0,25.9292,False,True,0.3854130726879508,0.26105250833025184
1,3,1,27.0,0,0,7.7958,False,True,-0.8123226859780963,-0.7310458761922362
1,2,1,,0,0,13.8625,False,False,-0.23181326475298328,-0.28146637675177055
0,1,1,,0,0,51.8625,False,True,1.037101911176483,0.9340879585804023
1,2,0,19.0,1,0,26.0,False,True,0.38804817777044526,0.2635453954678998
0,3,1,25.0,0,0,7.05,False,True,-0.9138391503349598,-0.8051101805571677
0,2,1,30.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,1,1,,0,0,31.0,False,True,0.5568956359862627,0.42684982481652856
0,3,1,28.0,0,0,22.525,False,True,0.248711374831728,0.13396020331521655
0,2,1,24.0,2,0,31.5,False,True,0.5721419976582213,0.44195245900599095
0,3,0,,0,0,14.5,False,True,-0.1868160111908567,-0.2444340598488193
0,3,0,16.0,5,2,46.9,False,True,0.9449461256079463,0.8313799843814514
0,2,1,49.0,1,2,65.0,False,True,1.2408562503381482,1.1712520495809884
1,1,1,42.0,1,0,52.5542,False,True,1.0491779712997535,0.947750785593716
0,3,0,30.5,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
0,3,0,,0,0,7.75,True,False,-0.8182759287916075,-0.7354212698040541
0,2,1,30.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,2,1,30.0,0,0,13.0,False,True,-0.29623739617250894,-0.3338802823381029
0,3,1,,1,2,23.45,False,True,0.28793594115765625,0.1699869843321691
1,3,1,20.0,0,0,7.2292,False,False,-0.8885177764761778,-0.7867426400797148
1,2,0,15.0,0,2,39.0,False,True,0.773758027571881,0.6475851600346456
0,2,1,23.0,2,1,11.5,False,True,-0.41957122030350225,-0.43231842756241834
1,1,0,50.0,0,1,247.5208,False,False,2.356432821767977,2.7817499918347814
0,3,1,0.75,1,1,13.775,False,True,-0.23815678205838775,-0.2866586938595822
1,3,1,36.5,1,0,17.4,False,True,-0.005275675956881796,-0.09128765448628857
0,3,1,30.0,0,0,8.05,False,True,-0.7798964388723738,-0.7071411011359738
